pond,id,abnormal,hetero,road,oil
K97,E141,0,0.38793806,1,0
K97,E151,0,0.63764233,1,0
K97,E161,0,1.163814179,1,0
K97,E1711,0,1.27528466,1,0
K97,E1721,0,0.318821165,1,0
K97,E181,0,0.63764233,1,0
K97,E191,0,0.956463495,1,0
K97,E201,0,1.27528466,1,0
K97,E211,0,1.594105825,1,0
K97,E221,0,1.27528466,1,0
K97,E231,0,0.956463495,1,0
K97,E241,0,1.594105825,1,0
K97,E251,0,1.594105825,1,0
K97,E261,0,0.956463495,1,0
K97,E271,0,0.63764233,1,0
K97,E370,1,1.27528466,1,0
